lag,lb_stat,lb_pvalue,white_noise
4,0.10876830085615927,0.9985737204900169,True
8,0.18901600420528458,0.9999969176663707,True
12,2.100628992610377,0.999235319009721,True
16,5.925290860473474,0.988882596507568,True
