,MAE,RMSE,sMAPE,MAPE_filtered,n,RMSE_vs_naive_mean_%,MAE_vs_naive_mean_%
naive_mean,0.12582432595707932,0.15446166252726462,119.27770491065279,83.61931331467379,34.0,0.0,0.0
naive_last,0.19771972161939932,0.23664293538760311,146.5007307410245,146.5256426133568,34.0,-53.2049645949087,-57.139503919810124
naive_seasonal,0.17873712459366922,0.22807230168907008,124.6529953694514,110.28318871950147,34.0,-47.656252015811475,-42.05291642463421
"ARIMA(1, 0, 1)",0.1257023205845824,0.1534345805734494,125.82563041624408,84.46344012929956,34.0,0.6649429619041813,0.09696485283660373
"SARIMA(0, 1, 2)x(1, 0, 1, 4)",0.12240386264750318,0.15315066783561623,113.93971236367759,84.26474884813415,34.0,0.848750861668978,2.718443578821885
Ridge,0.12666399091613706,0.15559024626232762,117.45294883054798,84.33274504325075,34.0,-0.73065621371503,-0.6673311799374653
LASSO,0.12536899170047344,0.1545231649364911,116.88135934380435,83.18551951591593,34.0,-0.039817264828171245,0.36188094245082536
