,OLS,Ridge (α=1e+03),LASSO (α=0.0825)
lag1,-0.007169065354479242,-0.001010576197272368,-0.0
lag2,-0.00854178009053042,-0.0016126220146112273,-0.0
lag3,-0.0038887691811022316,-0.0003705054620688829,-0.0
lag4,-0.013996751365083028,-0.0014510817708849996,-0.0
q2,-0.006893394231824692,0.001495514674397275,0.0
q3,-0.03456129980782367,-0.0033967953810494222,-0.0
q4,-0.023947264328033284,-0.0014287527708458968,-0.0
