model,dm,p_value,hln,p_hln,n
naive_last,3.2654778952759376,0.0010927953439883176,3.2170977704139427,0.002899101752473765,34
naive_seasonal,2.5471646489227537,0.010860217912481485,2.5094267901128022,0.017179474107368975,34
"ARIMA(1, 0, 1)",-0.3763932736402968,0.7066245458354405,-0.3708167687120974,0.7131438723950225,34
"SARIMA(0, 1, 2)x(1, 0, 1, 4)",-0.43416844270606175,0.6641661272666068,-0.42773596202700265,0.671621862409769,34
Ridge,1.0067022556115475,0.31407787786983743,0.991787323590174,0.3285181952403642,34
LASSO,0.07208815255568875,0.9425317545859897,0.07102012088205219,0.943810410458279,34
