p,d,q,P,D,Q,s,aic,bic
2,0,2,0,0,1,4,13.63218878883162,32.1206149787384
2,1,1,0,0,0,4,13.7373242726335,26.161106168235822
0,0,0,1,0,1,4,13.78987719612503,23.071127798545316
1,0,2,0,0,0,4,13.895593766198218,26.31937566180054
1,0,0,1,0,0,4,14.509854464856247,23.791105067276533
0,0,1,0,0,1,4,14.516922448405207,23.779711454102358
0,0,0,0,1,1,4,14.538682230858733,20.676490635299196
1,0,0,0,0,1,4,14.563667733819635,23.84491833623992
2,0,1,0,1,1,4,14.807145163257005,30.120120328391838
1,0,0,1,0,1,4,14.844896248118626,27.219897051345676
0,0,0,1,0,0,4,14.935742908181663,21.13547576383006
2,0,1,0,0,0,4,14.994385005375001,27.442336158801176
1,0,1,1,1,1,4,15.001288926461548,30.31426409159638
1,0,2,0,1,1,4,15.061163254055607,30.342392280797146
2,1,2,0,1,1,4,15.198357600354868,33.49749364385209
0,0,1,1,0,1,4,15.439466137507658,27.789851478437193
0,0,2,0,0,1,4,15.711976623307223,28.037594083245075
0,0,1,1,0,0,4,16.163199133235214,25.46279841670781
2,0,0,1,0,0,4,16.328065124532053,28.678450465461587
2,0,0,0,0,1,4,16.42275897935743,28.797759782584478
1,0,0,0,1,1,4,16.444289690340742,25.651002297001437
2,0,0,0,1,1,4,16.561939727106218,28.837556535987144
0,0,1,0,0,0,4,16.909359133614963,23.13333471032805
0,0,1,1,1,1,4,17.20075481374179,29.451134945849656
2,0,0,1,0,1,4,17.244656103275197,32.682637779437115
0,0,2,1,1,1,4,17.336321768422117,32.61755079516365
1,0,0,0,0,0,4,17.46625283355513,23.702240458388644
2,0,0,1,1,1,4,17.68499080572525,32.99796597086008
0,1,2,0,1,1,4,17.746868198865947,29.946292227864095
0,0,2,1,0,1,4,17.922438399328236,33.32946022425055
1,0,2,1,1,1,4,18.121650787519393,36.45912561960924
0,0,2,1,0,0,4,18.144940331344635,30.54440604264143
0,1,2,1,1,1,4,18.160535556418445,33.409815592666135
0,0,0,1,1,1,4,18.285757407751248,27.492470014411943
2,0,0,0,0,0,4,18.492995465329976,27.828958830399607
1,1,2,1,1,1,4,18.761737118222513,37.060873161719734
2,0,1,1,1,1,4,19.05015182959624,37.42572202775804
0,0,2,0,0,0,4,19.527022741530963,28.844859163232705
2,0,2,1,1,1,4,19.815204514379516,41.20892515181767
1,0,0,1,1,1,4,20.262171528545924,32.537788337426846
2,1,2,1,1,1,4,20.71866143872738,42.06765348947414
